"post_title,post_name,post_status,sku,downloadable,virtual,visibility,stock,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,tax:product_type,tax:product_cat,tax:product_tag,tax:product_brand,post_image"
"HHPC GAMING RYZEN 5 7600 | 16GB | RX 7800 XT 16G,hhpc-gaming-ryzen5-7600-rx7800xt,publish,HHPC-R5-7800XT,no,no,visible,10,instock,no,no,29000000,27550000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Gaming+R5+7600"""
"HHPC GAMING XEON E5 2676 V3 | 16GB | RTX 1060 6G,hhpc-gaming-xeon-e5-2676v3-rtx1060,publish,HHPC-GM-E5,no,no,visible,15,instock,no,no,11000000,10890000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Gaming+Xeon"""
"HHPC GAMING CORE I5 12400F | 16GB | RTX 3050 6G,hhpc-gaming-i5-12400f-rtx3050,publish,HHPC-I5-3050,no,no,visible,20,instock,no,no,18000000,17350000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=I5+3050"""
"HHPC GAMING RYZEN 5 5600G | 16GB | RX 6600 8G,hhpc-gaming-ryzen5-5600g-rx6600,publish,HHPC-R5-6600,no,no,visible,18,instock,no,no,16500000,15900000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=R5+5600G"""
"HHPC MINI PC GAMING INTEL N100 | 16GB | INTEGRATED,hhpc-mini-pc-n100-16gb,publish,HHPC-MINI-N100,no,no,visible,25,instock,no,no,4500000,3990000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Mini+PC+N100"""
"HHPC BASIC GAMING CORE I3 12100F | 8GB | GTX 1650 4G,hhpc-basic-i3-12100f-gtx1650,publish,HHPC-BASIC-I3,no,no,visible,30,instock,no,no,9500000,8990000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Basic+I3"""
"HHPC LIVESTREAM CORE I7 13700F | 32GB | RTX 4060 8G,hhpc-livestream-i7-13700f-rtx4060,publish,HHPC-LS-I7,no,no,visible,9,instock,no,no,26500000,24900000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Livestream+I7"""
"HHPC ESPORTS RYZEN 7 5800X3D | 32GB | RTX 4070 12G,hhpc-esports-ryzen7-5800x3d-rtx4070,publish,HHPC-ES-R7,no,no,visible,5,instock,no,no,38000000,36500000,,,,,taxable,,simple,""PC Gaming, Học Tập"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Esports+R7"""
"CPU AMD RYZEN THREADRIPPER 9960X (24 NHÂN 48 LUỒNG),cpu-amd-ryzen-threadripper-9960x,publish,AMD-TR-9960X,no,no,visible,5,instock,no,no,50000000,45500000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Ryzen+TR+9960X"""
"CPU AMD RYZEN 9 9950X3D (16 NHÂN 32 LUỒNG),cpu-amd-ryzen-9-9950x3d,publish,AMD-R9-9950X3D,no,no,visible,12,instock,no,no,22000000,20490000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=R9+9950X3D"""
"CPU AMD RYZEN 9 9900X3D (12 NHÂN 24 LUỒNG),cpu-amd-ryzen-9-9900x3d,publish,AMD-R9-9900X3D,no,no,visible,15,instock,no,no,18000000,16990000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=R9+9900X3D"""
"CPU INTEL CORE ULTRA 9 285K (24 NHÂN 24 LUỒNG),cpu-intel-core-ultra-9-285k,publish,INT-U9-285K,no,no,visible,20,instock,no,no,15000000,12990000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Ultra+9+285K"""
"CPU INTEL CORE I9 14900K (24 NHÂN 32 LUỒNG),cpu-intel-core-i9-14900k,publish,INT-I9-14900K,no,no,visible,18,instock,no,no,15000000,11990000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=I9+14900K"""
"CPU INTEL CORE ULTRA 7 265K (20 NHÂN 20 LUỒNG),cpu-intel-core-ultra-7-265k,publish,INT-U7-265K,no,no,visible,25,instock,no,no,10000000,7490000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Ultra+7+265K"""
"CPU INTEL CORE I7 14700KF (20 NHÂN 28 LUỒNG),cpu-intel-core-i7-14700kf,publish,INT-I7-14700KF,no,no,visible,22,instock,no,no,12500000,10990000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=I7+14700KF"""
"CPU AMD RYZEN 7 9800X3D (12 NHÂN 24 LUỒNG),cpu-amd-ryzen-7-9800x3d,publish,AMD-R7-9800X3D,no,no,visible,16,instock,no,no,14500000,13200000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=R7+9800X3D"""
"CPU INTEL CORE I5 14600K (14 NHÂN 20 LUỒNG),cpu-intel-core-i5-14600k,publish,INT-I5-14600K,no,no,visible,30,instock,no,no,8900000,7990000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=I5+14600K"""
"CPU AMD RYZEN 5 9600X (6 NHÂN 12 LUỒNG),cpu-amd-ryzen-5-9600x,publish,AMD-R5-9600X,no,no,visible,35,instock,no,no,6500000,5990000,,,,,taxable,,simple,""CPU - Bộ Vi Xử Lý"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=R5+9600X"""
"VGA MSI GEFORCE RTX 5090 32G GAMING TRIO OC,msi-rtx-5090-32g-gaming-trio,publish,MSI-5090-32G,no,no,visible,3,instock,no,no,90000000,85000000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=MSI+5090"""
"VGA GIGABYTE AORUS RTX 5090 MASTER 32G,gigabyte-aorus-rtx-5090-master,publish,GB-5090-M,no,no,visible,2,instock,no,no,90000000,88880000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Gigabyte+5090"""
"VGA ASUS ROG ASTRAL RTX 5080 16GB WHITE OC,asus-rog-astral-rtx-5080-white,publish,ASUS-5080-W,no,no,visible,4,instock,no,no,52000000,48990000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+5080W"""
"VGA COLORFUL IGAME RTX 5080 NEPTUNE OC 16GB,colorful-igame-rtx-5080-neptune,publish,CF-5080-N,no,no,visible,5,instock,no,no,48000000,43999000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Colorful+5080"""
"VGA MSI GEFORCE RTX 4070 TI SUPER 16G GAMING X,msi-rtx-4070ti-super-16g-gaming-x,publish,MSI-4070TIS,no,no,visible,8,instock,no,no,28500000,26990000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=MSI+4070TI"""
"VGA GIGABYTE RX 7900 XT 20G GAMING OC,gigabyte-rx-7900xt-20g-oc,publish,GB-7900XT,no,no,visible,6,instock,no,no,22500000,20990000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=GB+7900XT"""
"VGA ASUS DUAL RTX 4060 8GB OC,asus-dual-rtx-4060-8gb-oc,publish,ASUS-4060-D,no,no,visible,25,instock,no,no,8500000,7990000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+4060"""
"VGA PALIT GTX 1650 4GB DUAL,palit-gtx-1650-4gb-dual,publish,PL-1650,no,no,visible,40,instock,no,no,4500000,3990000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Palit+1650"""
"VGA ZOTAC RTX 4080 SUPER 16GB AMP EXTREME,zotac-rtx-4080s-16g-amp,publish,ZT-4080S,no,no,visible,3,instock,no,no,36500000,34900000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Zotac+4080S"""
"VGA INNO3D RTX 4070 12GB X3,inno3d-rtx-4070-12gb-x3,publish,IN-4070,no,no,visible,12,instock,no,no,14500000,13500000,,,,,taxable,,simple,""VGA - Card Màn Hình"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Inno3D+4070"""
"MAINBOARD ASUS ROG CROSSHAIR X870E EXTREME,mainboard-asus-rog-crosshair-x870e,publish,ASUS-X870E,no,no,visible,4,instock,no,no,35000000,31990000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+X870E"""
"MAINBOARD ASUS ROG STRIX X870-A GAMING WIFI,mainboard-asus-rog-strix-x870-a,publish,ASUS-X870A,no,no,visible,8,instock,no,no,15000000,12490000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+X870A"""
"MAINBOARD MSI MPG X870E CARBON WIFI,mainboard-msi-mpg-x870e-carbon,publish,MSI-X870E,no,no,visible,6,instock,no,no,16000000,13500000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=MSI+X870E"""
"MAINBOARD GIGABYTE Z890 AORUS XTREME AI TOP,mainboard-gigabyte-z890-aorus-xtreme,publish,GB-Z890,no,no,visible,2,instock,no,no,40000000,38990000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=GB+Z890"""
"MAINBOARD COLORFUL IGAME Z890 ULTRA V20,mainboard-colorful-igame-z890-ultra,publish,CF-Z890,no,no,visible,10,instock,no,no,13000000,12490000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=CF+Z890"""
"MAINBOARD ASROCK B650M-HDV,mainboard-asrock-b650m-hdv,publish,AR-B650M,no,no,visible,50,instock,no,no,3500000,2990000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASRock+B650M"""
"MAINBOARD MSI PRO Z790-P WIFI,mainboard-msi-pro-z790-p-wifi,publish,MSI-Z790P,no,no,visible,30,instock,no,no,5500000,4990000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=MSI+Z790P"""
"MAINBOARD GIGABYTE B760M DS3H AX,mainboard-gigabyte-b760m-ds3h-ax,publish,GB-B760M,no,no,visible,45,instock,no,no,4200000,3890000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=GB+B760M"""
"MAINBOARD ASUS TUF GAMING B550-PLUS WIFI,mainboard-asus-tuf-b550-plus-wifi,publish,ASUS-B550,no,no,visible,20,instock,no,no,4800000,4290000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+B550"""
"MAINBOARD MSI MAG B660 TOMAHAWK WIFI,mainboard-msi-mag-b660-tomahawk,publish,MSI-B660,no,no,visible,25,instock,no,no,5200000,4790000,,,,,taxable,,simple,""Mainboard - Bo Mạch Chủ"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=MSI+B660"""
"RAM CORSAIR VENGEANCE DDR5 64GB (2x32GB) 6000MHz,ram-corsair-vengeance-ddr5-64gb,publish,RAM-CF-64G,no,no,visible,15,instock,no,no,6500000,5990000,,,,,taxable,,simple,""RAM - Bộ Nhớ Trong"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Corsair+64G"""
"RAM G.SKILL TRIDENT Z5 RGB DDR5 32GB (2x16GB) 6400MHz,ram-gskill-tridentz5-32gb,publish,RAM-GF-32G,no,no,visible,22,instock,no,no,4200000,3890000,,,,,taxable,,simple,""RAM - Bộ Nhớ Trong"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Gskill+32G"""
"RAM KINGSTON FURY BEAST DDR4 16GB 3200MHz,ram-kingston-fury-beast-16gb,publish,RAM-KS-16G,no,no,visible,50,instock,no,no,2500000,2190000,,,,,taxable,,simple,""RAM - Bộ Nhớ Trong"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Kingston+16G"""
"RAM TEAMGROUP T-FORCE DELTA RGB DDR4 8GB 3200MHz,ram-teamgroup-delta-8gb,publish,RAM-TG-8G,no,no,visible,80,instock,no,no,1200000,990000,,,,,taxable,,simple,""RAM - Bộ Nhớ Trong"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=TeamGroup+8G"""
"RAM CORSAIR DOMINATOR PLATINUM DDR5 128GB (2x64GB),ram-corsair-dominator-128gb,publish,RAM-CF-128G,no,no,visible,5,instock,no,no,34000000,29990000,,,,,taxable,,simple,""RAM - Bộ Nhớ Trong"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Corsair+128G"""
"RAM G.SKILL RIPJAWS S5 DDR5 16GB 5600MHz,ram-gskill-ripjaws-16gb,publish,RAM-GF-16G,no,no,visible,40,instock,no,no,2800000,2590000,,,,,taxable,,simple,""RAM - Bộ Nhớ Trong"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Gskill+16G"""
"RAM PNY XLR8 RGB DDR4 16GB 3600MHz,ram-pny-xlr8-16gb,publish,RAM-PNY-16G,no,no,visible,35,instock,no,no,2400000,2150000,,,,,taxable,,simple,""RAM - Bộ Nhớ Trong"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=PNY+16G"""
"RAM APACER PANRAM DDR4 8GB 2666MHz,ram-apacer-panram-8gb,publish,RAM-AP-8G,no,no,visible,100,instock,no,no,950000,790000,,,,,taxable,,simple,""RAM - Bộ Nhớ Trong"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Apacer+8G"""
"NGUỒN SUPER FLOWER LEADEX V GOLD PRO 1000W BLACK,nguon-super-flower-leadex-v-gold-1000w-black,publish,SF-1000W-BLACK,no,no,visible,15,instock,no,no,4500000,3990000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=SF+1000W"""
"NGUỒN SUPER FLOWER LEADEX V GOLD PRO 1000W WHITE,nguon-super-flower-leadex-v-gold-1000w-white,publish,SF-1000W-WHITE,no,no,visible,12,instock,no,no,4600000,3990000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=SF+1000W+W"""
"NGUỒN SEGOtep GM1250W 1250W ATX 3.0 (80 PLUS GOLD),nguon-segotep-gm1250w-80-plus-gold,publish,SG-GM1250,no,no,visible,6,instock,no,no,3690000,2990000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Segotep+1250W"""
"NGUỒN THERMALTAKE TOUGHPower GT 850W SNOW,nguon-thermaltake-toughpower-850w-snow,publish,TT-850W-S,no,no,visible,20,instock,no,no,3000000,2790000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=TT+850W"""
"NGUỒN OCYPUS IOTA P1200 1200W (80 PLUS GOLD),nguon-ocypus-iota-p1200,publish,OC-1200W,no,no,visible,8,instock,no,no,4200000,3890000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Ocypus+1200W"""
"NGUỒN COOLER MASTER MWE GOLD 750W V2,nguon-cooler-master-mwe-750w,publish,CM-750W,no,no,visible,30,instock,no,no,2800000,2490000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=CM+750W"""
"NGUỒN ASUS ROG THOR 1000P 1000W PLATINUM,nguon-asus-rog-thor-1000p,publish,ASUS-THOR-1000,no,no,visible,3,instock,no,no,8500000,7990000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+THOR"""
"NGUỒN FSP HYDRO G PRO 850W (80 PLUS GOLD),nguon-fsp-hydro-g-pro-850w,publish,FSP-850W,no,no,visible,25,instock,no,no,2500000,2190000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=FSP+850W"""
"VỎ CASE JONSBO D400 BLACK - NO FAN,vỏ-case-jonsbo-d400-black,publish,JB-D400-B,no,no,visible,18,instock,no,no,1990000,1790000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Jonsbo+D400B"""
"VỎ CASE JONSBO D400 WHITE - NO FAN,vỏ-case-jonsbo-d400-white,publish,JB-D400-W,no,no,visible,14,instock,no,no,2300000,2150000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Jonsbo+D400W"""
"VỎ CASE NZXT H5 FLOW BLACK,vỏ-case-nzxt-h5-flow-black,publish,NZXT-H5-B,no,no,visible,10,instock,no,no,3200000,2990000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=NZXT+H5"""
"VỎ CASE COOLER MASTER TD500 MESH WHITE,vỏ-case-cooler-master-td500-mesh-white,publish,CM-TD500-W,no,no,visible,7,instock,no,no,3800000,3590000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=CM+TD500W"""
"VỎ CASE ASUS PRIME AP201TG,vỏ-case-asus-prime-ap201tg,publish,ASUS-AP201,no,no,visible,12,instock,no,no,2500000,2290000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+AP201"""
"VỎ CASE LIAN LI LANCOOL 216 RGB BLACK,vỏ-case-lian-li-lancool-216-rgb-black,publish,LL-216-B,no,no,visible,9,instock,no,no,3600000,3290000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=LianLi+216"""
"VỎ CASE PHANTEKS ECLIPSE P400A DRGB,vỏ-case-phantecks-eclipse-p400a,publish,PH-P400A,no,no,visible,15,instock,no,no,2900000,2690000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Phanteks+P400A"""
"VỎ CASE COUGAR MX380 TG ARGB,vỏ-case-cougar-mx380-tg-argb,publish,CG-MX380,no,no,visible,22,instock,no,no,1800000,1590000,,,,,taxable,,simple,""Linh kiện Máy Tính"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Cougar+MX380"""
"TẢN NHIỆT NƯỚC ASUS PRIME LC 360 ARGB LCD,tản-nhiệt-nước-asus-prime-lc-360,publish,ASUS-LC360,no,no,visible,10,instock,no,no,3200000,2990000,,,,,taxable,,simple,""Tản Nhiệt Cooling"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=ASUS+LC360"""
"TẢN NHIỆT NƯỚC THERMALTAKE LA360-S ARGB SYNC BLACK,tản-nhiệt-nước-thermaltake-la360s,publish,TT-LA360S,no,no,visible,12,instock,no,no,2500000,2290000,,,,,taxable,,simple,""Tản Nhiệt Cooling"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=TT+LA360S"""
"TẢN NHIỆT NƯỚC DEEPCOOL LT360 ARGB BLACK,tản-nhiệt-nước-deepcool-lt360,publish,DP-LT360,no,no,visible,8,instock,no,no,3200000,2990000,,,,,taxable,,simple,""Tản Nhiệt Cooling"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=DP+LT360"""
"TẢN NHIỆT KHÍ NOCTUA NH-D15 CH.BK,tản-nhiệt-khí-noctua-nh-d15,publish,NT-D15,no,no,visible,20,instock,no,no,2800000,2490000,,,,,taxable,,simple,""Tản Nhiệt Cooling"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Noctua+D15"""
"TẢN NHIỆT KHÍ COOLER MASTER HYPER 212 RGB BLACK,tản-nhiệt-khí-cooler-master-hyper-212,publish,CM-H212,no,no,visible,50,instock,no,no,1200000,990000,,,,,taxable,,simple,""Tản Nhiệt Cooling"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=CM+H212"""
"TẢN NHIỆT NƯỚC DEEPCOOL MYSTIQUE 360 WHITE,tản-nhiệt-nước-deepcool-mystique-360,publish,DP-MYSTIQUE,no,no,visible,6,instock,no,no,3990000,3690000,,,,,taxable,,simple,""Tản Nhiệt Cooling"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=DP+Mystique"""
"TẢN NHIỆT KHÍ BE QUIET! DARK ROCK PRO 4,tản-nhiệt-khí-be-quiet-dark-rock-pro-4,publish,BQ-DRP4,no,no,visible,15,instock,no,no,2500000,2290000,,,,,taxable,,simple,""Tản Nhiệt Cooling"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=BQ+DRP4"""
"TẢN NHIỆT NƯỚC CORSAIR H150i ELITE LCD XT,tản-nhiệt-nước-corsair-h150i-elite,publish,CF-H150I,no,no,visible,4,instock,no,no,5500000,4990000,,,,,taxable,,simple,""Tản Nhiệt Cooling"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Corsair+H150i"""
"BÀN PHÍM CƠ CORSAIR K70 CORE RGB,bàn-phím-cơ-corsair-k70-core,publish,CF-K70,no,no,visible,25,instock,no,no,1990000,1790000,,,,,taxable,,simple,""Gaming Gear"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Corsair+K70"""
"BÀN PHÍM CƠ DAREU EK104 WHITE BLACK,bàn-phím-cơ-dareu-ek104,publish,DR-EK104,no,no,visible,35,instock,no,no,1200000,990000,,,,,taxable,,simple,""Gaming Gear"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Dareu+EK104"""
"BÀN PHÍM CƠ MECHANIKE K768 PRO WHITE,bàn-phím-cơ-mechanike-k768-pro,publish,MK-K768,no,no,visible,10,instock,no,no,4500000,3990000,,,,,taxable,,simple,""Gaming Gear"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Mechanike+K768"""
"BÀN PHÍM CƠ LOGITECH G PRO X TKL,bàn-phím-cơ-logitech-g-pro-x-tkl,publish,LT-GPX,no,no,visible,12,instock,no,no,3200000,2990000,,,,,taxable,,simple,""Gaming Gear"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Logitech+GPX"""
"CHUỘT GAMING MOTOSPEED V100 PRO RED,chuột-gaming-motospeed-v100-pro,publish,MS-V100,no,no,visible,80,instock,no,no,590000,390000,,,,,taxable,,simple,""Gaming Gear"",,,""https://via.placeholder.com/200x200/ffffff/000000?text=Motospeed+V100"""
